Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.8017024831031326,-6.01908601177218,-2.4086333430759625,-5.158982502801564,-0.5230499061223508 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.9773764712811397,-8.486927671061937,-3.232281836037714,-7.1010774754710159,-0.606188560258648 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,-1.175339735095227,-10.963967623662676,-4.054418789864258,-9.049478487461215,-0.7265133856207615 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,-1.3903446602248393,-13.447500099515463,-4.888558550074322,-11.007118689143909,-0.8739774743214132 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,-1.4426624096125256,-13.249649695534722,-4.917169421663175,-10.880568736731619,-1.0069880106762559 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,-1.5112044842164323,-13.072320452070948,-4.912215940035196,-10.759260347567079,-1.1054719964893885 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,-1.561318485595852,-12.893654449584439,-4.9057704732279039,-10.628615612517138,-1.1738058796885849 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,-1.5989478225493133,-12.715040138001064,-4.887454194544489,-10.492688822247829,-1.2234107194246693 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-1.6344369366468388,-12.591805296496722,-4.8648785541813599,-10.362456964136073,-1.2641710811408405 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-1.6659596968694129,-12.47005878376645,-4.839699067055506,-10.232767175112827,-1.3013658299522566 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,-1.696158796185496,-12.349985399794856,-4.8125495385413619,-10.103127401091797,-1.3368642486909024 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.725631827475589,-12.231647343647908,-4.7846990834297,-9.97392782181197,-1.3711486063334917 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.7587866888793645,-12.199209129922722,-4.824117688021147,-9.992495935755187,-1.4053996385688624 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.7915627025951345,-12.168035900549738,-4.85710354187114,-10.017645217550694,-1.4400981392775596 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.8245506506553895,-12.138585363279966,-4.889022789646333,-10.043029800152909,-1.4751605100226318 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,-1.857672026167509,-12.11071818353921,-4.920649956962848,-10.067826188655318,-1.5103708590804924 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,-1.883847962311808,-11.988316590507349,-4.903584960228045,-9.98752740125417,-1.5443272336171159 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,-1.9107619567460124,-11.866061717691004,-4.888667800790813,-9.899870552108724,-1.5765197700073464 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,-1.9365826412994352,-11.74374524743135,-4.873899103033182,-9.811260534432279,-1.6072416695048162 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.961544264131313,-11.621441435095461,-4.858427390579266,-9.722287488065263,-1.6369217143780488 
 01/01  05:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,-1.9951720558080464,-11.622153498878856,-4.8806656361604159,-9.724991090113236,-1.6672978217840096 
