Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.19828469682860165,-6.007852539710514,-1.2124458164579438,-5.570007749321633,0.10362416339855728 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.3678514472407313,-8.475769522004518,-1.7651914395124209,-7.7125735490014339,0.028384385860935836 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,-0.5575864286837424,-10.952453967487003,-2.3168804478478934,-9.86191885866549,-0.07950625628362133 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.763192241182915,-13.435598140984885,-2.8816637417126005,-12.019808404472429,-0.21158190038841535 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,-0.809479782847917,-13.237423944302464,-2.95009971242024,-11.876816765732884,-0.3320364868515248 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,-0.8723820248485744,-13.060011911461297,-2.971146194477342,-11.720152856275093,-0.4226133788366916 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,-0.9190349424376052,-12.881359428677133,-2.988532140268717,-11.56322879222688,-0.48665113239743759 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,-0.9545841853929274,-12.702760635765765,-2.993507083894883,-11.404137356825231,-0.5339759177354336 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.9886261015315453,-12.579187212440179,-2.9938283641266709,-11.278908588634068,-0.573377740745264 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-1.018068118611977,-12.457082957502149,-2.994481686480185,-11.146688546734027,-0.6095463900854767 
