Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,7.879415255215291,-5.86053742601972,4.024826509619743,-3.129660110084558,8.368702130642318 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,7.686852525354241,-8.327726381766576,3.2345150086579226,-5.0707476111711,8.25438922409333 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,7.472049695312102,-10.802950445219157,2.436653072628417,-7.017767738322789,8.105942820528729 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,7.2399926770316489,-13.28482367029474,1.6234603944132005,-8.97291333220494,7.934432394267877 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,7.157324960187553,-13.08568524882837,1.5788040165995199,-8.830143802817702,7.781206804518323 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,7.062152499522551,-12.908863093445794,1.557363676449313,-8.718469166170963,7.6637840566077959 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,6.985864635049256,-12.730830563491385,1.5343592569273597,-8.585775300891442,7.574992278302141 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,6.921698894928484,-12.552896338035592,1.53246927340831,-8.467944301920966,7.50237721003209 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,6.859574186022276,-12.425827859245822,1.538332197346449,-8.30893469681132,7.436374761539671 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,6.800791144615131,-12.300089346653503,1.5539317248766338,-8.16869907581787,7.37263493546774 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,6.742825985489816,-12.175818743687263,1.562574533981433,-8.008445988172923,7.309881048613324 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,6.685582169594229,-12.05307643123203,1.5804575939347388,-7.867538748090283,7.2481046590297419 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,6.624073110054322,-12.026279355051069,1.5065959463627792,-7.921011435737341,7.185803383203587 
