Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,3.5205054947612166,-5.939816453184472,0.7633411883451799,-4.147426432736495,3.907919747198221 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,3.3375003644864216,-8.407660561830703,-0.04014335031433802,-6.089227296393517,3.8089979275234508 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,3.1315512147796076,-10.883806182509178,-0.847850962000166,-8.037119082615789,3.6747442364618507 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,2.9075073898591055,-13.36649930067256,-1.6698450938834527,-9.993623589831202,3.5155986695777807 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,2.8406535951926656,-13.167952457566301,-1.7058831173511067,-9.857596159507694,3.373107612203464 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,2.758899185740215,-12.990885529458505,-1.7139481132916217,-9.741059950662646,3.265977680303997 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,2.6960228208495096,-12.812525618354524,-1.7196005655686122,-9.614711652056826,3.1882888570440968 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,2.645423172353727,-12.63424396520204,-1.7131620897877156,-9.483127223356746,3.1279118012373789 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.5969798299957387,-12.509099581612674,-1.6961511900312872,-9.342959510390188,3.0751154413287216 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2.5520911941260517,-12.385366696667793,-1.6771984226390942,-9.202284755932169,3.0250643462766955 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,2.5082773962822069,-12.26320809993689,-1.656506530276829,-9.06137147398141,2.9762757201536744 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,2.4650964035178037,-12.142681157167097,-1.6351590000067518,-8.920661468070137,2.9284982586971 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,2.4179335655428799,-12.113043110008672,-1.6924306736089534,-8.956828652422246,2.880407214856779 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,2.3711228275503468,-12.084562358585579,-1.7416574379088843,-8.999821232163356,2.8315409943974485 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,2.323982873373656,-12.057675208772946,-1.7896709296854852,-9.042837961519979,2.782120148969782 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,2.276665496163946,-12.032244692264419,-1.8373327101864448,-9.084948789860278,2.7324841808458837 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,2.2352439010638807,-11.91018593131836,-1.8315625585418048,-9.0085503464598,2.68412832327852 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,2.194097950979359,-11.788205873828046,-1.8288823548637084,-8.924516996793614,2.6376332891822629 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,2.154090208857816,-11.6662004086205,-1.8261259404177395,-8.839378214301917,2.5927217735847569 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,2.115029650224988,-11.544203643878453,-1.822595093346422,-8.753856604505359,2.5489367958746329 
 01/01  05:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0687317448454447,-11.545132794619566,-1.8545782883645643,-8.760409666896465,2.5046013409364336 
 01/01  05:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0229943634858338,-11.545985872407952,-1.8932620026850487,-8.768398428329533,2.458737161975478 
 01/01  05:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,1.976704363455254,-11.546888172204339,-1.927954698140013,-8.77871127134398,2.411646416021627 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,1.9300324456704126,-11.54778839981659,-1.9627246653215594,-8.789634766898417,2.363942587789729 
 01/01  06:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,1.8853698084687636,-11.523319807778537,-2.0090596413795085,-8.825743775560796,2.3162880459334858 
 01/01  06:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,1.8405431098762784,-11.500123297619698,-2.053155294652697,-8.862107450675069,2.269038174132952 
 01/01  06:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,1.7959600921321198,-11.478104231983414,-2.0966268179051896,-8.89768131509851,2.2222058906198867 
