Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,8.2436573101209,-5.853902404206017,4.687100189388275,-3.3426051435303067,8.747574779896303 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,8.052622735197917,-8.320989584095308,3.95756996206228,-5.329696086023091,8.635185585475718 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,7.8399678661251219,-10.79607140834571,3.220526055766072,-7.322679043160861,8.489665313458828 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,7.610520333251428,-13.277802583836035,2.468109167992111,-9.323482626178987,8.3217216126006 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,7.529145831100607,-13.078566294359505,2.413286833343818,-9.173357852029085,8.171293004196246 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,7.435136052096661,-12.901730965504433,2.3814824356629744,-9.04516073050047,8.055441232242924 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,7.359621270803209,-12.72371130455384,2.361064814698807,-8.926031874035516,7.967500706936425 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,7.295715229517659,-12.545782799696897,2.3451617267821804,-8.783267418082005,7.895221112907974 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,7.233835300383701,-12.41852403182333,2.346267936228969,-8.631792156624329,7.829335993893706 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,7.17514708700036,-12.292582846414387,2.353825825855324,-8.490309771950877,7.7656157122705 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,7.117235814595278,-12.168099077091583,2.354364630438738,-8.328303619064514,7.7028116386461369 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,7.060002989236048,-12.04513349502915,2.363943100403276,-8.185945654820444,7.64092431859952 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,6.998607010000208,-12.0185628945761,2.2921484240564498,-8.235159724135997,7.578613479003872 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,6.937601072535545,-11.993022683851846,2.2285063042229469,-8.290827295079453,7.5154306647901809 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,6.8762413193673119,-11.968931164047016,2.165958878220181,-8.346182082620544,7.45165537266007 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,6.814719576709904,-11.94615614602704,2.103737539672238,-8.400372931126868,7.387678103226248 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,6.75897353316877,-11.824438562911677,2.092911925834983,-8.32428161971336,7.32504890280283 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,6.703537719297141,-11.702772300776742,2.0786856451697988,-8.240053802035846,7.264328045791643 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,6.649302256091455,-11.581079193083588,2.064637537161275,-8.15474947127018,7.205198410555709 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,6.5960461101167049,-11.459394643431116,2.0514481397761417,-8.069091562844165,7.14718686763396 
 01/01  05:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,6.535939265998571,-11.460550049950357,2.002578194180842,-8.07524085808791,7.088521200165357 
 01/01  05:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,6.476489444243168,-11.46166636004841,1.955467659942883,-8.08737359101599,7.0284688690467169 
 01/01  05:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,6.416492154677443,-11.462825288365986,1.9086377392992518,-8.100131470274278,6.967369301392752 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,6.35620525274612,-11.463980760942452,1.8614858930355923,-8.113074995414536,6.905789534124544 
 01/01  06:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,6.2977351643938859,-11.441967791165189,1.800548333862821,-8.160340144423913,6.844300970828288 
 01/01  06:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,6.239167646287838,-11.421099798630835,1.742251413131612,-8.208157798095045,6.783219821920977 
 01/01  06:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,6.180876911580784,-11.40129706386745,1.6846633427534812,-8.254971957339422,6.722558903268466 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,6.122881336186187,-11.382495482665285,1.627737110894941,-8.300531286922308,6.66224429913591 
 01/01  07:15:00,-10.45,0.0,0.0,0.0,0.0,0.0,0.0,6.064686269085426,-11.332567781221768,1.6125903625595584,-8.241780285263986,6.602249669536379 
 01/01  07:30:00,-10.3,215.5879980222353,1.0,22.819555959623899,1.0,22.819555959623899,215.5879980222353,6.1385352406339479,-9.658431736474144,1.8836220315499759,-7.921076715695392,6.563404218187807 
 01/01  07:45:00,-10.15,1058.5392312119832,1.0,109.75755355442667,1.0,109.75755355442667,1058.5392312119832,6.574547021594284,-3.2818155826660218,3.0275163292197364,-6.882566653315735,6.603992454838978 
 01/01  08:00:00,-10.0,1924.8399544048012,1.0,195.8764694434918,1.0,195.8764694434918,1924.8399544048012,7.142334652154554,3.2015728141594419,4.268201432526951,-5.830230747093196,6.731118613508051 
