Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,4.758417088426148,-5.9172666082077989,2.9900535904069445,-4.846677067271912,5.19470128790566 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,4.58065466748662,-8.384812048149236,2.4527435001010078,-6.9891644644050079,5.103475349400061 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,4.383579101899039,-10.860390905452219,1.9106727444750505,-9.138361268684207,4.98115690482556 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,4.171193602172635,-13.342563530723531,1.3540867044708876,-11.295334073791765,4.836990011551433 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,4.1087002163705759,-13.143668188000053,1.27692328782706,-11.136737192250167,4.706517706461118 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,4.032220970083663,-12.96649717501148,1.2413028170147414,-10.983517674073369,4.606603665548999 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,3.972254799576897,-12.788177876681063,1.2105594626085008,-10.830084402321518,4.532497783147497 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,3.923186815559402,-12.609931855927626,1.1923318025434356,-10.674501856121993,4.473751426610803 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,3.87565023635243,-12.484130304459822,1.1819803150954159,-10.539932536272432,4.421697316798024 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,3.831242439966979,-12.359707275136538,1.1676988549425005,-10.387319192866585,4.371879186613672 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,3.7877667073585146,-12.236825187731573,1.1609724802518713,-10.252029908886243,4.323047407546679 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,3.7447343766412946,-12.115537206756845,1.1523583107934883,-10.108769156171661,4.275020056169353 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,3.6981192072886057,-12.086665083916382,1.10293161547105,-10.126194488087322,4.227030408562663 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,3.6519270134359109,-12.058905497614301,1.0581330516807839,-10.15051908526442,4.178770896235079 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,3.605614837274573,-12.032699360180905,1.0139312540846959,-10.174626562180379,4.130320090458191 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,3.559266394836265,-12.007916417585872,0.969897820451763,-10.197979249442199,4.081838058981358 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,3.518477281876045,-11.885862250006716,0.95552967751712,-10.106651475043237,4.034380430008708 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,3.477870799062572,-11.763887511203487,0.9398082912168775,-10.007467602126326,3.988394653167215 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,3.4382158512027884,-11.64189213399687,0.924424884767177,-9.907547172675209,3.9436885686217204 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.399361272091376,-11.519906726006824,0.9098147600137736,-9.807442897263968,3.8999246291902249 
 01/01  05:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.3534729211959375,-11.520815268064999,0.8701343093551941,-9.806595168605896,3.855587403707357 
 01/01  05:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.308207648160818,-11.521661344008463,0.8309539005288116,-9.812711414883779,3.8099785206877887 
 01/01  05:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.2624188887654488,-11.522549203548183,0.7919094959919448,-9.81939101767523,3.763347799783749 
 01/01  06:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.2163135171418948,-11.523435687801355,0.7524904612964178,-9.82619732913679,3.7161829677419284 
 01/01  06:15:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.1722638902774946,-11.499597472149718,0.7095956668208601,-9.84553552884472,3.669184170449127 
 01/01  06:30:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.128084426759858,-11.476993955188057,0.6682268496024335,-9.86485724773354,3.6227090949513967 
 01/01  06:45:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.084199494226176,-11.45553895063446,0.6271732294259778,-9.883601167643008,3.576731513825515 
 01/01  07:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,3.040613679562982,-11.435164661543333,0.5865335058185792,-9.90168201427548,3.5311249585370048 
 01/01  07:15:00,-10.45,0.0,0.0,0.0,0.0,0.0,0.0,2.996281660176521,-11.386316049539966,0.5630989954787538,-9.855026227591907,3.4854452277363525 
 01/01  07:30:00,-10.3,131.46049686357856,1.0,22.819555959623899,1.0,22.819555959623899,131.46049686357856,3.066928646212821,-9.712954432550072,0.8754772334774543,-9.527053601697617,3.456514095831208 
 01/01  07:45:00,-10.15,645.4723572801172,1.0,109.75755355442667,1.0,109.75755355442667,645.4723572801172,3.450289884368962,-3.3456562871811448,2.215705695121187,-8.38627230672546,3.491008941376638 
 01/01  08:00:00,-10.0,1173.722188202934,1.0,195.8764694434918,1.0,195.8764694434918,1173.722188202934,3.9351541727620877,3.138991729554456,3.7527276094529045,-7.226207599107397,3.594862620040059 
 01/01  08:15:00,-9.725,1700.1525234071142,1.0,278.97248314719988,1.0,278.97248314719988,1700.1525234071142,4.334249661296095,8.317754786052316,5.201750174543349,-6.197109414454815,3.7503224266640045 
